date,symphony_id,ticker,weight_pct,shares,market_value,source
2026-05-22,ZGersOlsQFRHg7U2qnSw,GLDM,8.8863,1.02002,90.9653836,symphony-stats-meta
2026-05-22,ZGersOlsQFRHg7U2qnSw,SGOV,80.8017,8.21959,827.134875823,symphony-stats-meta
2026-05-22,ZGersOlsQFRHg7U2qnSw,TECL,10.1991,0.50221,104.4044369,symphony-stats-meta
2026-05-22,ZGersOlsQFRHg7U2qnSw,$USD,0.1133,1.16,1.16,symphony-stats-meta
2026-05-24,ZGersOlsQFRHg7U2qnSw,GLDM,8.8891,1.02002,90.9959842,symphony-stats-meta
2026-05-24,ZGersOlsQFRHg7U2qnSw,SGOV,80.8004,8.21959,827.1373417,symphony-stats-meta
2026-05-24,ZGersOlsQFRHg7U2qnSw,TECL,10.197,0.50221,104.3843485,symphony-stats-meta
2026-05-24,ZGersOlsQFRHg7U2qnSw,$USD,0.1133,1.16,1.16,symphony-stats-meta
2026-05-25,ZGersOlsQFRHg7U2qnSw,GLDM,8.8891,1.02002,90.9959842,symphony-stats-meta
2026-05-25,ZGersOlsQFRHg7U2qnSw,SGOV,80.8004,8.21959,827.1373417,symphony-stats-meta
2026-05-25,ZGersOlsQFRHg7U2qnSw,TECL,10.197,0.50221,104.3843485,symphony-stats-meta
2026-05-25,ZGersOlsQFRHg7U2qnSw,$USD,0.1133,1.16,1.16,symphony-stats-meta
2026-05-26,ZGersOlsQFRHg7U2qnSw,GLDM,8.812,1.02002,90.9551834,symphony-stats-meta
2026-05-26,ZGersOlsQFRHg7U2qnSw,SGOV,80.1384,8.21959,827.164466347,symphony-stats-meta
2026-05-26,ZGersOlsQFRHg7U2qnSw,TECL,10.9373,0.50221,112.891735679,symphony-stats-meta
2026-05-26,ZGersOlsQFRHg7U2qnSw,$USD,0.1124,1.16,1.16,symphony-stats-meta
2026-05-27,ZGersOlsQFRHg7U2qnSw,GLDM,8.7278,1.02002,89.8484617,symphony-stats-meta
2026-05-27,ZGersOlsQFRHg7U2qnSw,SGOV,80.3562,8.21959,827.226935231,symphony-stats-meta
2026-05-27,ZGersOlsQFRHg7U2qnSw,TECL,10.8038,0.50221,111.2194266,symphony-stats-meta
2026-05-27,ZGersOlsQFRHg7U2qnSw,$USD,0.1127,1.16,1.16,symphony-stats-meta
2026-05-28,ZGersOlsQFRHg7U2qnSw,GLDM,8.7879,1.02002,90.7715798,symphony-stats-meta
2026-05-28,ZGersOlsQFRHg7U2qnSw,SGOV,80.0943,8.21959,827.3017335,symphony-stats-meta
2026-05-28,ZGersOlsQFRHg7U2qnSw,TQQQ,10.1956,1.25797,105.31095855,symphony-stats-meta
2026-05-28,ZGersOlsQFRHg7U2qnSw,$USD,0.9226,9.53,9.53,symphony-stats-meta
2026-05-29,ZGersOlsQFRHg7U2qnSw,GLDM,8.815,1.02002,91.755695096,symphony-stats-meta
2026-05-29,ZGersOlsQFRHg7U2qnSw,SGOV,79.5032,8.21959,827.5483212,symphony-stats-meta
2026-05-29,ZGersOlsQFRHg7U2qnSw,TECL,10.5727,0.44884,110.0510796,symphony-stats-meta
2026-05-29,ZGersOlsQFRHg7U2qnSw,$USD,1.1087,11.54,11.54,symphony-stats-meta
2026-05-31,ZGersOlsQFRHg7U2qnSw,GLDM,8.9889,1.82992,164.5647056,symphony-stats-meta
2026-05-31,ZGersOlsQFRHg7U2qnSw,SGOV,80.9195,14.71582,1481.4415994,symphony-stats-meta
2026-05-31,ZGersOlsQFRHg7U2qnSw,TECL,9.9881,0.74517,182.8572663,symphony-stats-meta
2026-05-31,ZGersOlsQFRHg7U2qnSw,$USD,0.1038,1.9,1.9,symphony-stats-meta
2026-06-01,ZGersOlsQFRHg7U2qnSw,GLDM,8.8328,1.82992,162.2498568,symphony-stats-meta
2026-06-01,ZGersOlsQFRHg7U2qnSw,SGOV,80.4287,14.71582,1477.3947489,symphony-stats-meta
2026-06-01,ZGersOlsQFRHg7U2qnSw,TECL,10.6352,0.74517,195.35749305,symphony-stats-meta
2026-06-01,ZGersOlsQFRHg7U2qnSw,$USD,0.1034,1.9,1.9,symphony-stats-meta
2026-06-02,ZGersOlsQFRHg7U2qnSw,GLDM,8.9611,5.91567,525.04529085,symphony-stats-meta
2026-06-02,ZGersOlsQFRHg7U2qnSw,SGOV,80.6193,47.04769,4723.621009383,symphony-stats-meta
2026-06-02,ZGersOlsQFRHg7U2qnSw,TECL,10.3103,2.21768,604.096032,symphony-stats-meta
2026-06-02,ZGersOlsQFRHg7U2qnSw,$USD,0.1094,6.41,6.41,symphony-stats-meta
2026-06-03,ZGersOlsQFRHg7U2qnSw,GLDM,8.9318,10.59628,931.942826,symphony-stats-meta
2026-06-03,ZGersOlsQFRHg7U2qnSw,SGOV,81.13,84.29717,8465.1218114,symphony-stats-meta
2026-06-03,ZGersOlsQFRHg7U2qnSw,TECL,9.8375,3.83318,1026.4489404,symphony-stats-meta
2026-06-03,ZGersOlsQFRHg7U2qnSw,$USD,0.1007,10.51,10.51,symphony-stats-meta
2026-06-04,ZGersOlsQFRHg7U2qnSw,GLDM,9.027,10.59628,938.4065568,symphony-stats-meta
2026-06-04,ZGersOlsQFRHg7U2qnSw,SGOV,81.2111,84.07071,8442.3806982,symphony-stats-meta
2026-06-04,ZGersOlsQFRHg7U2qnSw,TECL,9.56,3.89548,993.8148576,symphony-stats-meta
2026-06-04,ZGersOlsQFRHg7U2qnSw,$USD,0.202,21.0,21.0,symphony-stats-meta
2026-06-05,ZGersOlsQFRHg7U2qnSw,GLDM,8.8218,5.47764,468.3108318,symphony-stats-meta
2026-06-05,ZGersOlsQFRHg7U2qnSw,SGOV,82.245,43.46688,4366.0307616,symphony-stats-meta
2026-06-05,ZGersOlsQFRHg7U2qnSw,TQQQ,8.8307,6.30513,468.7864155,symphony-stats-meta
2026-06-05,ZGersOlsQFRHg7U2qnSw,$USD,0.1025,5.44,5.44,symphony-stats-meta
2026-06-07,ZGersOlsQFRHg7U2qnSw,PSQ,10.0206,20.10911,531.8859595,symphony-stats-meta
2026-06-07,ZGersOlsQFRHg7U2qnSw,GLDM,8.8151,5.47764,467.9000088,symphony-stats-meta
2026-06-07,ZGersOlsQFRHg7U2qnSw,SGOV,80.8922,42.7448,4293.71516,symphony-stats-meta
2026-06-07,ZGersOlsQFRHg7U2qnSw,$USD,0.2722,14.45,14.45,symphony-stats-meta
2026-06-08,ZGersOlsQFRHg7U2qnSw,PSQ,9.8865,20.10911,524.22438859,symphony-stats-meta
2026-06-08,ZGersOlsQFRHg7U2qnSw,GLDM,8.8481,5.47764,469.160413764,symphony-stats-meta
2026-06-08,ZGersOlsQFRHg7U2qnSw,SGOV,80.9929,42.7448,4294.570056,symphony-stats-meta
2026-06-08,ZGersOlsQFRHg7U2qnSw,$USD,0.2725,14.45,14.45,symphony-stats-meta
2026-06-09,ZGersOlsQFRHg7U2qnSw,GLDM,8.712,5.47764,461.3268408,symphony-stats-meta
2026-06-09,ZGersOlsQFRHg7U2qnSw,SGOV,81.1011,42.7448,4294.570056,symphony-stats-meta
2026-06-09,ZGersOlsQFRHg7U2qnSw,UDOW,9.9464,8.10358,526.6921821,symphony-stats-meta
2026-06-09,ZGersOlsQFRHg7U2qnSw,$USD,0.2406,12.74,12.74,symphony-stats-meta
2026-06-10,ZGersOlsQFRHg7U2qnSw,PSQ,9.9606,19.65199,526.2802922,symphony-stats-meta
2026-06-10,ZGersOlsQFRHg7U2qnSw,GLDM,8.6505,5.64969,457.059921,symphony-stats-meta
2026-06-10,ZGersOlsQFRHg7U2qnSw,SGOV,81.2888,42.7448,4294.997504,symphony-stats-meta
2026-06-10,ZGersOlsQFRHg7U2qnSw,$USD,0.1001,5.29,5.29,symphony-stats-meta
2026-06-11,ZGersOlsQFRHg7U2qnSw,PSQ,9.6909,19.65199,512.03259945,symphony-stats-meta
2026-06-11,ZGersOlsQFRHg7U2qnSw,GLDM,9.2597,5.87373,489.25234035,symphony-stats-meta
2026-06-11,ZGersOlsQFRHg7U2qnSw,SGOV,80.9253,42.55182,4275.8196327,symphony-stats-meta
2026-06-11,ZGersOlsQFRHg7U2qnSw,$USD,0.1242,6.56,6.56,symphony-stats-meta
2026-06-12,ZGersOlsQFRHg7U2qnSw,GLDM,8.965,5.70278,474.5853516,symphony-stats-meta
2026-06-12,ZGersOlsQFRHg7U2qnSw,SGOV,80.7955,42.55182,4277.0961873,symphony-stats-meta
2026-06-12,ZGersOlsQFRHg7U2qnSw,UDOW,10.14,8.11586,536.7829804,symphony-stats-meta
2026-06-12,ZGersOlsQFRHg7U2qnSw,$USD,0.0996,5.27,5.27,symphony-stats-meta
2026-06-14,ZGersOlsQFRHg7U2qnSw,GLDM,8.9729,5.70278,475.1271157,symphony-stats-meta
2026-06-14,ZGersOlsQFRHg7U2qnSw,SGOV,80.778,42.55182,4277.3089464,symphony-stats-meta
2026-06-14,ZGersOlsQFRHg7U2qnSw,UDOW,10.1495,8.11586,537.4322492,symphony-stats-meta
2026-06-14,ZGersOlsQFRHg7U2qnSw,$USD,0.0995,5.27,5.27,symphony-stats-meta
2026-06-15,ZGersOlsQFRHg7U2qnSw,GLDM,9.1474,5.70278,487.0744398,symphony-stats-meta
2026-06-15,ZGersOlsQFRHg7U2qnSw,SGOV,80.3314,42.55182,4277.43660186,symphony-stats-meta
2026-06-15,ZGersOlsQFRHg7U2qnSw,UDOW,10.4223,8.11586,554.9625068,symphony-stats-meta
2026-06-15,ZGersOlsQFRHg7U2qnSw,$USD,0.099,5.27,5.27,symphony-stats-meta
2026-06-16,ZGersOlsQFRHg7U2qnSw,GLDM,9.1679,5.70278,489.3270379,symphony-stats-meta
2026-06-16,ZGersOlsQFRHg7U2qnSw,SGOV,80.5723,42.77385,4300.46576946,symphony-stats-meta
2026-06-16,ZGersOlsQFRHg7U2qnSw,UDOW,10.1602,7.78817,542.2902771,symphony-stats-meta
2026-06-16,ZGersOlsQFRHg7U2qnSw,$USD,0.0997,5.32,5.32,symphony-stats-meta
2026-06-17,ZGersOlsQFRHg7U2qnSw,GLDM,9.0149,5.70278,478.5202698,symphony-stats-meta
2026-06-17,ZGersOlsQFRHg7U2qnSw,SGOV,81.0295,42.77385,4301.12448675,symphony-stats-meta
2026-06-17,ZGersOlsQFRHg7U2qnSw,UDOW,9.8553,7.78817,523.1313789,symphony-stats-meta
2026-06-17,ZGersOlsQFRHg7U2qnSw,$USD,0.1002,5.32,5.32,symphony-stats-meta
2026-06-18,ZGersOlsQFRHg7U2qnSw,GLDM,8.9555,5.70278,475.7259076,symphony-stats-meta
2026-06-18,ZGersOlsQFRHg7U2qnSw,SGOV,80.9917,42.77385,4302.386315325,symphony-stats-meta
2026-06-18,ZGersOlsQFRHg7U2qnSw,UDOW,9.9527,7.78817,528.69992045,symphony-stats-meta
2026-06-18,ZGersOlsQFRHg7U2qnSw,$USD,0.1001,5.32,5.32,symphony-stats-meta
2026-06-23,ZGersOlsQFRHg7U2qnSw,GLDM,8.9804,5.8529,476.074886,symphony-stats-meta
2026-06-23,ZGersOlsQFRHg7U2qnSw,SGOV,80.9486,42.65259,4291.2770799,symphony-stats-meta
2026-06-23,ZGersOlsQFRHg7U2qnSw,UDOW,9.9709,7.78817,528.5830979,symphony-stats-meta
2026-06-23,ZGersOlsQFRHg7U2qnSw,$USD,0.1,5.3,5.3,symphony-stats-meta
2026-06-25,ZGersOlsQFRHg7U2qnSw,GLDM,8.9946,7.15505,569.8997325,symphony-stats-meta
2026-06-25,ZGersOlsQFRHg7U2qnSw,SGOV,80.9221,50.95655,5127.248061,symphony-stats-meta
2026-06-25,ZGersOlsQFRHg7U2qnSw,UDOW,9.9879,9.20693,632.83833355,symphony-stats-meta
2026-06-25,ZGersOlsQFRHg7U2qnSw,$USD,0.0953,6.04,6.04,symphony-stats-meta
2026-06-26,ZGersOlsQFRHg7U2qnSw,GLDM,9.0885,7.15505,576.267727,symphony-stats-meta
2026-06-26,ZGersOlsQFRHg7U2qnSw,SGOV,80.8957,50.95655,5129.271036035,symphony-stats-meta
2026-06-26,ZGersOlsQFRHg7U2qnSw,UDOW,9.9205,9.20693,629.0174576,symphony-stats-meta
2026-06-26,ZGersOlsQFRHg7U2qnSw,$USD,0.0953,6.04,6.04,symphony-stats-meta
2026-06-29,ZGersOlsQFRHg7U2qnSw,GLDM,8.9544,7.15505,568.14674525,symphony-stats-meta
2026-06-29,ZGersOlsQFRHg7U2qnSw,SGOV,80.8465,50.95655,5129.62263623,symphony-stats-meta
2026-06-29,ZGersOlsQFRHg7U2qnSw,UDOW,10.1038,9.20693,641.077615207,symphony-stats-meta
2026-06-29,ZGersOlsQFRHg7U2qnSw,$USD,0.0952,6.04,6.04,symphony-stats-meta
2026-06-30,ZGersOlsQFRHg7U2qnSw,GLDM,8.9542,7.15505,568.64759875,symphony-stats-meta
2026-06-30,ZGersOlsQFRHg7U2qnSw,SGOV,80.7791,50.95655,5129.94875815,symphony-stats-meta
2026-06-30,ZGersOlsQFRHg7U2qnSw,UDOW,10.1716,9.20693,645.9582088,symphony-stats-meta
2026-06-30,ZGersOlsQFRHg7U2qnSw,$USD,0.0951,6.04,6.04,symphony-stats-meta
2026-07-01,ZGersOlsQFRHg7U2qnSw,GLDM,9.0489,1.52835,122.145732,symphony-stats-meta
2026-07-01,ZGersOlsQFRHg7U2qnSw,SGOV,80.7455,10.85593,1089.935372,symphony-stats-meta
2026-07-01,ZGersOlsQFRHg7U2qnSw,UDOW,9.991,1.92277,134.8630878,symphony-stats-meta
2026-07-01,ZGersOlsQFRHg7U2qnSw,$USD,0.2148,2.9,2.9,symphony-stats-meta
2026-07-02,ZGersOlsQFRHg7U2qnSw,GLDM,8.9937,18.59853,1516.5241362,symphony-stats-meta
2026-07-02,ZGersOlsQFRHg7U2qnSw,SGOV,80.8854,135.80506,13638.9021758,symphony-stats-meta
2026-07-02,ZGersOlsQFRHg7U2qnSw,UDOW,10.0205,23.3734,1689.663086,symphony-stats-meta
2026-07-02,ZGersOlsQFRHg7U2qnSw,$USD,0.1003,16.92,16.92,symphony-stats-meta
2026-07-05,ZGersOlsQFRHg7U2qnSw,GLDM,8.9937,18.59853,1516.5241362,symphony-stats-meta
2026-07-05,ZGersOlsQFRHg7U2qnSw,SGOV,80.8854,135.80506,13638.9021758,symphony-stats-meta
2026-07-05,ZGersOlsQFRHg7U2qnSw,UDOW,10.0205,23.3734,1689.663086,symphony-stats-meta
2026-07-05,ZGersOlsQFRHg7U2qnSw,$USD,0.1003,16.92,16.92,symphony-stats-meta
2026-07-06,ZGersOlsQFRHg7U2qnSw,GLDM,8.9933,0.97652,80.4506002,symphony-stats-meta
2026-07-06,ZGersOlsQFRHg7U2qnSw,SGOV,80.9284,7.20782,723.9534408,symphony-stats-meta
2026-07-06,ZGersOlsQFRHg7U2qnSw,UDOW,9.9945,1.22559,89.4067905,symphony-stats-meta
2026-07-06,ZGersOlsQFRHg7U2qnSw,$USD,0.0838,0.75,0.75,symphony-stats-meta
2026-07-07,ZGersOlsQFRHg7U2qnSw,GLDM,8.9011,0.97652,79.4984932,symphony-stats-meta
2026-07-07,ZGersOlsQFRHg7U2qnSw,SGOV,81.0661,7.20782,724.025519,symphony-stats-meta
2026-07-07,ZGersOlsQFRHg7U2qnSw,UDOW,9.9488,1.22559,88.855275,symphony-stats-meta
2026-07-07,ZGersOlsQFRHg7U2qnSw,$USD,0.084,0.75,0.75,symphony-stats-meta
2026-07-08,ZGersOlsQFRHg7U2qnSw,GLDM,8.8289,0.97652,78.8344596,symphony-stats-meta
2026-07-08,ZGersOlsQFRHg7U2qnSw,SGOV,81.1014,7.20782,724.16246758,symphony-stats-meta
2026-07-08,ZGersOlsQFRHg7U2qnSw,UDOW,9.6245,1.22559,85.9383708,symphony-stats-meta
2026-07-08,ZGersOlsQFRHg7U2qnSw,$USD,0.4446,3.97,3.97,symphony-stats-meta
